first_name,last_name,image_link,spotify_link,yt_link,info,id,more_link
Elena,Paparizou,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/paparizou.jpg
","https://open.spotify.com/artist/3i37rLqZ3Bvk6gdEOOzXKz
","https://www.youtube.com/channel/UC-fISqlTEQCDGfaqmze7Z7Q
",,singer,
Efi,Papatheodorou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/papatheodorou.jpg,,,,actor,
Paschalis,,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/paschalis.jpg
","https://open.spotify.com/artist/4ZoGVZXeY1vUK0pgnOOB2Na
","https://www.youtube.com/channel/UCUt0aCT-BJ8yJ9C78V0sEYw
",,singer,
Giannis,Ploutarchos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/ploutarchos.jpg
","https://open.spotify.com/artist/152y903Cqyk9GVl6amOtuD
","https://www.youtube.com/@GiannisPloutarchos
",,singer,
Giannis,Poulopoulos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/poulopoulos.jpg
","https://open.spotify.com/artist/5dXxT7IN0PJRpdWCxiCYfC
","https://www.youtube.com/channel/UCXRKvTyNrhJx1Jk0OIZw2TQ
",,singer,
Alkistis,Protopsalti,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/protopsalti.jpg
","https://open.spotify.com/artist/514w90CKIw9w84Zh3NSNyA
","https://www.youtube.com/@Alkistis_Protopsalti
",,singer,
Eleni,Rantou,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/rantou.jpg,,,,actor,
Antonis,Remos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/remos.jpg
","https://open.spotify.com/artist/6s26Q38Zqc4hY3xe7jrEBG
","https://www.youtube.com/channel/UCYd3dJRYX0XG6nzvPFNTuSg
",,singer,
Michalis,Reppas,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/reppas.jpg,,,,actor,
Nikos,Rizos,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/rizos.jpg,,,,actor,
Stelios,Rokkos,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/rokkos.jpg
","https://open.spotify.com/artist/01GDS9NmGwhzHm2VjbZFcG
","https://www.youtube.com/channel/UCJGCnBgcfzZkHvnIJpbGPsw
",,singer,
Haris,Romas,https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/romas.jpg,,,,actor,"https://www.more.com/gr-el/artists/harisromas/
"
Sakis,Rouvas,"https://raw.githubusercontent.com/KonstantinosMandroukas/meet_greek_artist_pics/main/rouvas.jpg
","https://open.spotify.com/artist/0VuyN0xzSqykiDB2MxihTe
","https://www.youtube.com/@SakisRouvas
","Born and raised in the island of Corfu, Sakis Rouvas started his music career in 1991, at the Thessaloniki Song Festival. 
Since then, he has steadily been at the top of the Greek music scene and show-biz with numerous distinctions among different fields, 
as he has received the Best New Singer, Best Song and the “Karolos Koun” Award for Best Stage Performance, 
as well as many other national and international awards.
His multitalented personality has been demonstrated through his leading roles in cinema, ancient drama and Hollywood movies, 
as well as through his participation in popular TV shows and large-scale events, including the 2004 Athens Olympics Closing Ceremony and the 
Eurovision Song Contest, 
where he successfully represented Greece in 2004 and 2009. 
Parallel to his career, Sakis has participated in several initiatives that aim to raise awareness for the protection of the environment 
and has demonstrated a long-term commitment to supporting children in need, while being himself a caring father of four.",singer,
